product_id,title,price_num,discount_rate,product_rating,product_rating_count,bsr_category_norm,best_subcat_name,best_subcat_rank,bsr_rank,is_fba,has_aplus,image_count,bullet_count,bought_count_number_clean
B0FG7HCKJG,"HOSHANHO 5-Piece Japanese Style Kitchen Knife Set,Professional Ultra Sharp High-Carbon Stainless Steel Chefs Knives with Ergonomic Wood Handle,Elegant Box Packaging",159.99,,4.7,225,kitchen & dining,,,9963.0,1,1,9,5,50.0
B0D9H46D1S,"MDHAND 14PCS Professional Butcher Knife Set with Roll Bag, Hand Forged Serbian Chef Knife Set, Heavy Duty Meat Cleaver Knives, Boning Knife, Meat Cutting Knife for Kitchen, Gift for Men, BBQ, Camping",89.99,0.1000100010001,4.6,150,kitchen & dining,,,52726.0,1,1,10,5,
B0CJV6S9PW,"PAUDIN Honing Rod, Knife Sharpener Rod, 10 Inch Honing Steel, Professional Kitchen Knife Sharpener, High Carbon Knife Sharpening Steel with Ergonomic Pakkawood Handle for All Chef Knives",31.99,0.2000500125031258,4.7,97,kitchen & dining,,,75771.0,1,1,10,5,50.0
B01KQKGDAY,"CUISINART Block Knife Set, 15pc Cutlery Knife Set with Steel Blades for Precise Cutting , Lightweight, Stainless Steel, Durable & Dishwasher Safe, C99SS-15P",117.13,0.3107972933215651,4.6,651,kitchen & dining,,,69396.0,1,1,10,5,50.0
B076QGYHDK,"EatNeat 12-Piece Knife Set – Chef, Bread, Carving, Utility & Paring Knives with Sheaths, Sharpener & Cutting Board – Non-Stick Stainless Steel, Ergonomic, Dishwasher Safe – Ideal for Home, RV & Gift",18.95,,4.7,16812,kitchen & dining,,,65246.0,1,1,10,5,50.0
B08ZQPYCBM,"KitchenAid Gourmet Forged Triple Rivet Chef Knife with Custom-Fit Blade Cover, 8-inch, Sharp Kitchen Knife, High-Carbon Japanese Stainless Steel Blade, Black",19.99,0.0,4.7,225,kitchen & dining,,,92067.0,1,1,10,5,50.0
B0FK1X9R79,"5 Pieces Damascus Knife Set, Japanese Chef Knife Set with Galaxy Pattern Resin Handle, 67-Layers Damascus Steel, Gift Box Included 5"" Paring, 6"" Boning, 7"" Santoku, 8"" Chef & 8"" Bread Damascus Knives",177.77,,4.6,858,kitchen & dining,,,88693.0,1,1,9,5,
B0DM856S88,PAUDIN Damascus Chef Knife + Knife Sharpener,82.99,0.3615171564856131,0.0,0,,,,,1,1,9,5,
B0CHQVGGZM,"Natura Series 14 PCS Knife Block Set, Ultra Sharp High Carbon Stainless Steel with Wooden Handle",129.99,,4.4,155,kitchen & dining,,,66861.0,0,1,10,5,
B09Q2Q2HQ3,"PAUDIN Steak Knives 4.5 Inch, Steak knives Set of 8, High Carbon Stainless Steel Steak Knife Set, Sharp Serrated Steak Knife with Pakkawood Handle, Kitchen Steak Knife Set with Gift Box",119.99,,4.7,932,kitchen & dining,,,35745.0,1,1,10,5,
